FOOD_CODE,DESC
13318,"Peppers, capsicum, green, raw"
13320,"Peppers, capsicum, red, raw"
13052,"Beansprouts, mung, raw"
13384,"Tomatoes, raw"
13369,"Sweetcorn, kernels, boiled in salted water"
15077,"Coleslaw, with mayonnaise, retail"
15078,"Coleslaw, with reduced calorie dressing, retail"
15079,"Coleslaw, with vinaigrette, retail"
13043,"Baked beans, canned in tomato sauce"
13045,"Baked beans, canned in tomato sauce, reduced sugar"
13046,"Baked beans, canned in tomato sauce, reduced sugar, reduced"
19024,"Ham, canned"
339,"Bacon, fat only, cooked, average"
16307,Taramasalata
11043,"White rice, easy cook, boiled"
17302,"Dressing, French"
17211,Lager
17222,"Cider, dry"
16013,"Cod, baked, flesh only"
11113,"Wholemeal bread, average"
11130,Corn Flakes
11062,"Spaghetti, white, boiled"
11183,Semi-sweet biscuits
17063,"Sugar, white"
17284,"Vegetable soup, canned"
13231,"Courgette, boiled in unsalted water"
13275,"Marrow, boiled in salted water"
13216,"Cauliflower, boiled in salted water"
13313,"Parsnip, boiled in salted water"
13360,"Swede, boiled in salted water"
13221,"Celery, raw"
13233,"Cucumber, raw"
13266,"Lettuce, average, raw"
19056,"Cornish pastie, commercial"
19063,"Pork pie, individual"
19067,"Sausage rolls, flaky pastry, homemade"
19068,"Sausage rolls, short pastry, homemade"
19069,"Steak and kidney/Beef pie, individual, chilled/frozen, baked"
x0535,"Steak and kidney pie, pastry top only, fat removed"
16176,"Herring, grilled, flesh only"
16188,"Kipper, grilled, flesh only"
16192,"Mackerel, fried in blended oil, flesh only"
16203,"Salmon, grilled, flesh only"
16216,"Sardines, canned in oil, drained"
16229,"Tuna, canned in brine, drained"
11143,"Porridge, made with water"
11145,"Ready Brek, dry/unprepared"
13065,"Broad beans, boiled in salted water"
13082,"Green beans/French beans, boiled in salted water"
13113,"Runner beans, boiled in salted water"
13285,"Mushrooms, common, boiled in salted water"
13344,"Spinach, boiled in salted water"
11169,"Digestive biscuits, chocolate"
17094,Mars bar
17100,Twix
17101,Boiled sweets
17117,Peppermints
17120,"Toffees, mixed"
14105,"Grapefruit, raw"
11070,"Brown bread, average"
12185,"Whole milk yogurt, fruit"
12194,"Greek yogurt, cows"
x1201,"Fruitcake, rich, fat removed"
13133,"Peas, frozen, boiled in salted water"
13135,"Peas, canned, re-heated, drained"
19008,"Bacon rashers, back, fat trimmed, grilled"
17229,"Rose wine, medium"
13166,"Beetroot, pickled, drained"
18100,"Lamb, average, trimmed fat, cooked"
18141,"Lamb, loin chops, grilled, lean"
17045,Sunflower oil
17318,"Mayonnaise, reduced calorie"
x1171,"Flapjacks, fat removed"
x1266,"Scones, plain, fat removed"
x1325,"Sponge pudding, fat removed"
17165,"Tea, black, infusion, average"
17152,"Coffee, infusion, average"
13244,"Garlic, raw"
a1362,Cereal non specific
x3016,"Potatoes, roast, fat removed"
19238,"Lasagne, chilled/frozen, reheated"
19247,"Moussaka, recipe"
14037,"Avocado, average"
13092,"Lentils, red, split, dried, boiled in unsalted water"
13142,"Split peas, dried, boiled in unsalted water"
x2268,"Cheese sauce with whole milk, fat removed"
x2296,"White sauce,with whole milk, fat removed"
17338,Tomato ketchup
17341,"Chutney, apple, homemade"
17352,"Pickle, sweet"
17175,Cola
17179,Lemonade
a7021,Solid vegetable oil
14031,"Apricots, dried"
14231,"Prunes, dry, no stones"
14242,Raisins
12008,"Semi-skimmed milk, average"
13171,"Broccoli, green, boiled in salted water"
13349,"Spring greens, boiled in salted water"
12113,"Cream, fresh, single"
17038,Olive oil
13119,"Tofu, soya bean, steamed"
15314,"Soya mince, granules"
15330,"Vegeburger, retail, fried in vegetable oil"
14829,"Peanut butter, smooth"
16232,"Crab, boiled, light and dark meat"
16239,"Prawns, boiled (no shells)"
16256,"Mussels, boiled (no shells)"
11036,"Brown rice, boiled"
11064,"Spaghetti, wholemeal, boiled"
1064,Drinking chocolate powder
12220,Creme caramel
12247,"Mousse, frozen"
16281,"Fish cakes, grilled"
16289,"Fish fingers, cod, fried in blended oil"
16023,"Cod, in batter, fried in retail blend oil"
13178,"Brussels sprouts, boiled in salted water"
11168,"Crispbread, rye"
14096,"Fruit cocktail, canned in juice"
14097,"Fruit cocktail, canned in syrup"
13264,"Leeks, boiled in salted water"
12042,"Soya milk, plain"
